"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"15029","EUR/USD",1.12142,1.12146,1.12329,1.12057,2020-06-26 06:22:37
"15030","EUR/USD",1.12126,1.12133,1.12329,1.12057,2020-06-26 06:23:40
"15031","EUR/USD",1.12128,1.12133,1.12329,1.12057,2020-06-26 06:24:41
"15032","EUR/USD",1.12119,1.12122,1.12329,1.12057,2020-06-26 06:25:43
"15033","EUR/USD",1.12115,1.12119,1.12329,1.12057,2020-06-26 06:26:44
"15034","EUR/USD",1.12126,1.1213,1.12329,1.12057,2020-06-26 06:27:46
"15035","EUR/USD",1.12111,1.12116,1.12329,1.12057,2020-06-26 06:28:48
"15036","EUR/USD",1.12114,1.12116,1.12329,1.12057,2020-06-26 06:29:50
"15037","EUR/USD",1.12116,1.1212,1.12329,1.12057,2020-06-26 06:30:52
"15038","EUR/USD",1.12125,1.12129,1.12329,1.12057,2020-06-26 06:31:53
"15039","EUR/USD",1.12115,1.1212,1.12329,1.12057,2020-06-26 06:32:54
"15040","EUR/USD",1.12118,1.12123,1.12329,1.12057,2020-06-26 06:33:56
"15041","EUR/USD",1.12128,1.12133,1.12329,1.12057,2020-06-26 06:34:58
"15042","EUR/USD",1.12118,1.1212,1.12329,1.12057,2020-06-26 06:35:59
"15043","EUR/USD",1.12111,1.12116,1.12329,1.12057,2020-06-26 06:37:01
"15044","EUR/USD",1.12112,1.12116,1.12329,1.12057,2020-06-26 06:38:02
"15045","EUR/USD",1.12124,1.12126,1.12329,1.12057,2020-06-26 06:39:04
"15046","EUR/USD",1.12118,1.12123,1.12329,1.12057,2020-06-26 06:40:05
"15047","EUR/USD",1.12128,1.1213,1.12329,1.12057,2020-06-26 06:41:07
"15048","EUR/USD",1.12128,1.1213,1.12329,1.12057,2020-06-26 06:42:09
"15049","EUR/USD",1.12124,1.12129,1.12329,1.12057,2020-06-26 06:43:10
"15050","EUR/USD",1.12128,1.12133,1.12329,1.12057,2020-06-26 06:44:12
"15051","EUR/USD",1.12139,1.12146,1.12329,1.12057,2020-06-26 06:45:14
"15052","EUR/USD",1.12143,1.12147,1.12329,1.12057,2020-06-26 06:46:16
"15053","EUR/USD",1.12135,1.1214,1.12329,1.12057,2020-06-26 06:47:18
"15054","EUR/USD",1.12125,1.12129,1.12329,1.12057,2020-06-26 06:48:19
"15055","EUR/USD",1.12124,1.12127,1.12329,1.12057,2020-06-26 06:49:21
"15056","EUR/USD",1.12119,1.12126,1.12329,1.12057,2020-06-26 06:50:22
"15057","EUR/USD",1.12098,1.121,1.12329,1.12057,2020-06-26 06:51:23
"15058","EUR/USD",1.12101,1.12105,1.12329,1.12057,2020-06-26 06:52:26
"15059","EUR/USD",1.12104,1.12108,1.12329,1.12057,2020-06-26 06:53:29
"15060","EUR/USD",1.12104,1.12106,1.12329,1.12057,2020-06-26 06:54:29
"15061","EUR/USD",1.12108,1.12115,1.12329,1.12057,2020-06-26 06:55:32
"15062","EUR/USD",1.12091,1.12096,1.12329,1.12057,2020-06-26 06:56:33
"15063","EUR/USD",1.12071,1.12075,1.12329,1.12057,2020-06-26 06:57:35
"15064","EUR/USD",1.12101,1.12106,1.12329,1.12057,2020-06-26 06:58:36
"15065","EUR/USD",1.12084,1.12089,1.12329,1.12057,2020-06-26 06:59:38
"15066","EUR/USD",1.12082,1.12086,1.12329,1.12057,2020-06-26 07:00:40
"15067","EUR/USD",1.12105,1.12109,1.12329,1.12057,2020-06-26 07:01:41
"15068","EUR/USD",1.12107,1.12112,1.12329,1.12057,2020-06-26 07:02:43
"15069","EUR/USD",1.12101,1.12106,1.12329,1.12057,2020-06-26 07:03:44
"15070","EUR/USD",1.12108,1.12113,1.12329,1.12057,2020-06-26 07:04:46
"15071","EUR/USD",1.12105,1.12109,1.12329,1.12057,2020-06-26 07:05:47
"15072","EUR/USD",1.12118,1.12123,1.12329,1.12057,2020-06-26 07:06:49
"15073","EUR/USD",1.12134,1.12136,1.12329,1.12057,2020-06-26 07:07:50
"15074","EUR/USD",1.12118,1.12122,1.12329,1.12057,2020-06-26 07:08:52
"15075","EUR/USD",1.12128,1.12133,1.12329,1.12057,2020-06-26 07:09:54
"15076","EUR/USD",1.12112,1.12116,1.12329,1.12057,2020-06-26 07:10:55
"15077","EUR/USD",1.12111,1.12116,1.12329,1.12057,2020-06-26 07:11:57
"15078","EUR/USD",1.12085,1.12091,1.12329,1.12057,2020-06-26 07:12:59
"15079","EUR/USD",1.1209,1.12095,1.12329,1.12057,2020-06-26 07:14:01
"15080","EUR/USD",1.12105,1.12109,1.12329,1.12057,2020-06-26 07:15:02
"15081","EUR/USD",1.12091,1.12093,1.12329,1.12057,2020-06-26 07:16:03
"15082","EUR/USD",1.12094,1.12096,1.12329,1.12057,2020-06-26 07:17:05
"15083","EUR/USD",1.12074,1.12079,1.12329,1.12057,2020-06-26 07:18:06
"15084","EUR/USD",1.1207,1.12075,1.12329,1.12057,2020-06-26 07:19:09
"15085","EUR/USD",1.1205,1.12055,1.12329,1.1205,2020-06-26 07:20:10
"15086","EUR/USD",1.12074,1.12078,1.12329,1.12047,2020-06-26 07:21:12
"15087","EUR/USD",1.12084,1.12089,1.12329,1.12047,2020-06-26 07:22:14
"15088","EUR/USD",1.12084,1.12088,1.12329,1.12047,2020-06-26 07:23:16
"15089","EUR/USD",1.12094,1.12098,1.12329,1.12047,2020-06-26 07:24:17
"15090","EUR/USD",1.12108,1.12116,1.12329,1.12047,2020-06-26 07:25:19
"15091","EUR/USD",1.12131,1.12136,1.12329,1.12047,2020-06-26 07:26:21
"15092","EUR/USD",1.12139,1.12143,1.12329,1.12047,2020-06-26 07:27:22
"15093","EUR/USD",1.12134,1.12137,1.12329,1.12047,2020-06-26 07:28:24
"15094","EUR/USD",1.12143,1.12149,1.12329,1.12047,2020-06-26 07:29:25
"15095","EUR/USD",1.12142,1.12144,1.12329,1.12047,2020-06-26 07:30:27
"15096","EUR/USD",1.12155,1.12159,1.12329,1.12047,2020-06-26 07:31:29
"15097","EUR/USD",1.12159,1.12164,1.12329,1.12047,2020-06-26 07:32:31
